"id","category_id","name","display_name","created_at","updated_at"
"73","7","police","Police","2025-01-01 12:00:25","2025-01-01 12:00:25"
"74","7","tailor","Tailor","2025-01-01 12:00:25","2025-01-01 12:00:25"
"75","7","scientist-special","Scientist (special)","2025-01-01 12:00:26","2025-01-01 12:00:26"
"76","7","chef","Chef","2025-01-01 12:00:25","2025-01-01 12:00:25"
"77","7","teacher","Teacher","2025-01-01 12:00:25","2025-01-01 12:00:25"
"78","7","dancer-special","Dancer (Special)","2025-01-01 12:00:26","2025-01-01 12:00:26"
"79","7","waiter","Waiter","2025-01-01 12:00:26","2025-01-01 12:00:26"
"80","7","driver","Driver","2025-01-01 12:00:26","2025-01-01 12:00:26"
"81","7","model-special","Model (special)","2025-01-01 12:00:26","2025-01-01 12:00:26"
"82","7","nurse","Nurse","2025-01-01 12:00:26","2025-01-01 12:00:26"
"83","7","firefighter","Firefighter ","2025-01-01 12:00:26","2025-01-01 12:00:26"
"84","7","gardener-special","Gardener (special)","2025-01-01 12:00:26","2025-01-01 12:00:26"
"85","8","actor","Actor","2025-01-01 12:00:26","2025-01-01 12:00:26"
"86","8","cabin-crew","Cabin Crew ","2025-01-01 12:00:26","2025-01-01 12:00:26"
"87","8","engineer-special","Engineer (special)","2025-01-01 12:00:26","2025-01-01 12:00:26"
"88","8","singer","Singer","2025-01-01 12:00:26","2025-01-01 12:00:26"
"89","8","salesperson","Salesperson","2025-01-01 12:00:26","2025-01-01 12:00:26"
"90","8","magician-special","Magician (special)","2025-01-01 12:00:26","2025-01-01 12:00:26"
"91","8","photographer","Photographer","2025-01-01 12:00:26","2025-01-01 12:00:26"
"92","8","doctor","Doctor","2025-01-01 12:00:26","2025-01-01 12:00:26"
"93","8","party-host-special","Party Host (special)","2025-01-01 12:00:26","2025-01-01 12:00:26"
"94","8","tour-guide","Tour Guide ","2025-01-01 12:00:26","2025-01-01 12:00:26"
"95","8","artist","Artist ","2025-01-01 12:00:26","2025-01-01 12:00:26"
"96","8","inventor-special","Inventor (special)","2025-01-01 12:00:26","2025-01-01 12:00:26"
"97","9","architect","Architect","2025-01-01 12:00:27","2025-01-01 12:00:27"
"98","9","emcee-1","Emcee 1","2025-01-01 12:00:27","2025-01-01 12:00:27"
"99","9","pilot","Pilot","2020-12-23 11:59:56","2020-12-23 11:59:56"
"100","9","entrepreneur","Entrepreneur ","2025-01-01 12:00:26","2025-01-01 12:00:26"
"101","9","director","Director ","2025-01-01 12:00:26","2025-01-01 12:00:26"
"102","9","vlogger-special","Vlogger (special)","2025-01-01 12:00:26","2025-01-01 12:00:26"
"103","9","reporter","Reporter","2025-01-01 12:00:26","2025-01-01 12:00:26"
"104","9","influencer-special-i","Influencer (special) i","2025-01-01 12:00:26","2025-01-01 12:00:26"
"105","9","detective","Detective ","2025-01-01 12:00:26","2025-01-01 12:00:26"
"106","9","emcee-2","Emcee 2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"107","9","lawyer","Lawyer ","2025-01-01 12:00:26","2025-01-01 12:00:26"
"108","9","coach","Coach","2025-01-01 12:00:26","2025-01-01 12:00:26"

