"id","theme_id","name","display_name","order","created_at","updated_at"
"362","91","capturing-moments","Capturing Moments","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"363","91","giving-suggestion","Giving Suggestion","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"364","91","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"365","92","analytical-ability","Analytical Ability","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"366","92","critical-response","Critical Response","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"367","92","mellow-voice","Mellow Voice","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"368","92","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"369","93","space-arrangement","Space Arrangement","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"370","93","decorative","Decorative","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"371","93","game-master","Game Master","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"372","93","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"373","94","courtesy-reply","Courtesy Reply","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"374","94","interesting-expression","Interesting Expression","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"375","94","team-leading","Team Leading","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"376","94","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"377","95","art-techniques","Art Techniques","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"378","95","colour-sensation","Colour Sensation","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"379","95","explaining-artwork","Explaining Artwork","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"380","95","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"381","96","investigate","Investigate","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"382","96","innovative","Innovative","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"383","96","desire-expression","Desire Expression","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"384","96","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"385","97","geomerty-skils-sense-of-construction","Geomery & Skills & Sense of Construction","1","2025-01-01 12:00:27","2025-01-01 12:00:27"
"386","97","visualisation-drafting","Visualisation & Drafting","2","2025-01-01 12:00:27","2025-01-01 12:00:27"
"387","97","impress-design-construction-abilities","Impress Design & Construction Abilities","3","2025-01-01 12:00:27","2025-01-01 12:00:27"
"388","97","recap","Recap","4","2025-01-01 12:00:27","2025-01-01 12:00:27"
"389","98","liveliness-formality","Liveliness & Formality","1","2025-01-01 12:00:27","2025-01-01 12:00:27"
"390","98","manage-react-spontaneously","Manage & React Spontaneously","2","2025-01-01 12:00:27","2025-01-01 12:00:27"
"391","98","challenge-day-emcee","Challenge Day Emcee","3","2025-01-01 12:00:27","2025-01-01 12:00:27"
"392","98","recap","Recap","4","2025-01-01 12:00:27","2025-01-01 12:00:27"
"393","99","take-command-stay-calm","Take Command & Stay Calm","1","2025-01-01 12:00:56","2025-01-01 12:00:56"
"394","99","professional-language-prompt-decisions","Professional Language & Prompt Decisions","2","2025-01-01 12:00:56","2025-01-01 12:00:56"
"395","99","captain-pilot","Captain Pilot","3","2025-01-01 12:00:56","2025-01-01 12:00:56"
"396","99","recap","Recap","4","2025-01-01 12:00:56","2025-01-01 12:00:56"
"397","100","plan-execute","Plan & Execute","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"398","100","grit-resilience","Grit & Resilience","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"399","100","successful-entrepreneur","Successful Entrepreneur","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"400","100","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"401","101","props-scenes","Props & Scenes","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"402","101","flow-expression","Flow & Expression ","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"403","101","nominee-of-best-director","Nominee of Best Director ","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"404","101","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"405","102","positive-positioning","Positive Positioning","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"406","102","capture-intriguing-moments-willpower","Capture Intriguing Moments & Willpower","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"407","102","live-broadcasts","Live Broadcasts","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"408","102","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"409","103","ask-express","Ask & Express","1","2025-01-01 12:00:55","2025-01-01 12:00:55"
"410","103","generalize-specify","Generalize & Specify","2","2025-01-01 12:00:55","2025-01-01 12:00:55"
"411","103","live-reporter","Live Reporter","2","2025-01-01 12:00:55","2025-01-01 12:00:55"
"412","103","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"413","104","create-creative-content-engage-audience","Create Creative Content & Engage Audience","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"414","104","interesting-captions-market-oneself","Interesting Captions & Market Oneself","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"415","104","instagram-influencer","Instagram Influencer","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"416","104","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"417","105","investigate-associate","Investigate & Associate","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"418","105","multitasking-proving","Multitasking & Proving","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"419","105","detective","Detective","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"420","105","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"421","106","liveliness-formality","Liveliness & Formality","1","2025-01-01 12:00:27","2025-01-01 12:00:27"
"422","106","manage-react-spontaneously","Manage & React Spontaneously","2","2025-01-01 12:00:27","2025-01-01 12:00:27"
"423","106","challenge-day-emcee-practice","Challenge Day Emcee Practice","3","2025-01-01 12:00:27","2025-01-01 12:00:27"
"424","106","recap","Recap","4","2025-01-01 12:00:27","2025-01-01 12:00:27"
"425","107","research-reason","Research & Reason ","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"426","107","evidences-persuasive","Evidences & Persuasive ","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"427","107","lawyer-in-court","Lawyer in Court","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"428","107","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"429","108","optimistic-motivated","Optimistic & Motivated","1","2025-01-01 12:00:27","2025-01-01 12:00:27"
"430","108","active-listening-questioning","Active Listening & Questioning","2","2025-01-01 12:00:27","2025-01-01 12:00:27"
"431","108","gold-medalist-winner","Gold Medalist Winner","3","2025-01-01 12:00:27","2025-01-01 12:00:27"
"432","108","recap","Recap ","4","2025-01-01 12:00:27","2025-01-01 12:00:27"
