"id","branch_id","class_id","teacher_id","co_teacher_id","date","actual_start_datetime","actual_end_datetime","status","created_at","updated_at","lesson_id","display_name"
"90677","9","810",\N,\N,"2024-11-28",\N,\N,"PENDING","2024-03-01 00:01:08","2024-07-07 18:59:09","228","Recap"
"90229","9","657",\N,\N,"2024-11-28",\N,\N,"PENDING","2024-03-01 00:00:53","2024-07-07 18:59:06","178","Tending"
"90789","9","846",\N,\N,"2024-11-28",\N,\N,"PENDING","2024-03-01 00:01:11","2024-07-07 18:59:10","276","Recap"
"89649","9","433",\N,\N,"2024-11-28",\N,\N,"PENDING","2024-03-01 00:00:33","2024-07-07 18:58:54","180","Recap"
"89564","9","376",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-03-01 00:00:30","2024-07-07 18:58:37","179","Fertilizing"
"89576","9","381",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:44","179","Fertilizing"
"88366","9","713",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-02-01 00:00:50","2024-07-07 18:59:07","232","Recap"
"89572","9","380",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:42","227","Desire Expression"
"89568","9","377",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:39","227","Desire Expression"
"89584","9","383",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:48","179","Fertilizing"
"89580","9","382",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:46","227","Desire Expression"
"89588","9","384",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:51","227","Desire Expression"
"90432","9","727",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-03-01 00:00:58","2024-07-07 18:59:08","273","Create Creative Content & Engage Audience"
"90149","9","631",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-03-01 00:00:49","2024-07-07 18:59:04","273","Create Creative Content & Engage Audience"
"89552","9","372",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-03-01 00:00:30","2024-07-07 18:58:29","179","Fertilizing"
"90139","9","627",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-03-01 00:00:49","2024-07-07 18:59:02","179","Fertilizing"
"89956","9","549",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-03-01 00:00:41","2024-07-07 18:58:57","275","Instagram Influencer"
"89976","9","558",\N,\N,"2024-11-23",\N,\N,"PENDING","2024-03-01 00:00:42","2024-07-07 18:59:00","179","Fertilizing"
"89556","9","375",\N,\N,"2024-11-21",\N,\N,"PENDING","2024-03-01 00:00:30","2024-07-07 18:58:33","227","Desire Expression"
"89648","9","433",\N,\N,"2024-11-21",\N,\N,"PENDING","2024-03-01 00:00:33","2024-07-07 18:58:54","179","Fertilizing"
"90228","9","657",\N,\N,"2024-11-21",\N,\N,"PENDING","2024-03-01 00:00:53","2024-07-07 18:59:06","177","Cultivating"
"90788","9","846",\N,\N,"2024-11-21",\N,\N,"PENDING","2024-03-01 00:01:11","2024-07-07 18:59:10","275","Instagram Influencer"
"90676","9","810",\N,\N,"2024-11-21",\N,\N,"PENDING","2024-03-01 00:01:08","2024-07-07 18:59:09","227","Desire Expression"
"89975","9","558",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-03-01 00:00:42","2024-07-07 18:59:00","178","Tending"
"89587","9","384",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:51","226","Innovative"
"88414","9","727",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-02-01 00:00:51","2024-07-07 18:59:08","272","Recap"
"88365","9","713",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-02-01 00:00:50","2024-07-07 18:59:07","231","Facial Expression"
"89571","9","380",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:42","226","Innovative"
"89575","9","381",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:44","178","Tending"
"89583","9","383",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:48","178","Tending"
"88150","9","631",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-02-01 00:00:45","2024-07-07 18:59:04","272","Recap"
"89563","9","376",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-03-01 00:00:30","2024-07-07 18:58:37","178","Tending"
"89567","9","377",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:39","226","Innovative"
"89955","9","549",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-03-01 00:00:41","2024-07-07 18:58:57","274","Interesting Captions & Market Oneself"
"89551","9","372",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-03-01 00:00:30","2024-07-07 18:58:29","178","Tending"
"89579","9","382",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:46","226","Innovative"
"90138","9","627",\N,\N,"2024-11-16",\N,\N,"PENDING","2024-03-01 00:00:49","2024-07-07 18:59:02","178","Tending"
"89555","9","375",\N,\N,"2024-11-14",\N,\N,"PENDING","2024-03-01 00:00:30","2024-07-07 18:58:33","226","Innovative"
"89647","9","433",\N,\N,"2024-11-14",\N,\N,"PENDING","2024-03-01 00:00:33","2024-07-07 18:58:54","178","Tending"
"88234","9","657",\N,\N,"2024-11-14",\N,\N,"PENDING","2024-02-01 00:00:47","2024-07-07 18:59:06","176","Recap"
