"id","category_id","name","display_name","created_at","updated_at"
"37","4","chef","Chef","2020-12-17 11:37:25","2020-12-17 11:37:25"
"38","4","teacher","Teacher","2020-12-17 11:37:25","2020-12-17 11:37:25"
"39","4","dancer-special","Dancer (Special)","2020-12-17 11:37:26","2020-12-17 11:37:26"
"40","4","waiter","Waiter","2020-12-17 11:37:26","2020-12-17 11:37:26"
"41","4","driver","Driver","2020-12-17 11:37:26","2020-12-17 11:37:26"
"42","4","model-special","Model (special)","2020-12-17 11:37:26","2020-12-17 11:37:26"
"43","4","nurse","Nurse","2020-12-17 11:37:26","2020-12-17 11:37:26"
"44","4","firefighter","Firefighter ","2020-12-17 11:37:26","2020-12-17 11:37:26"
"45","4","gardener-special","Gardener (special)","2020-12-17 11:37:26","2020-12-17 11:37:26"
"46","4","police","Police","2020-12-17 11:37:26","2020-12-17 11:37:26"
"47","4","tailor","Tailor ","2020-12-17 11:37:26","2020-12-17 11:37:26"
"48","4","scientist-special","Scientist (special)","2020-12-17 11:37:26","2023-05-05 14:23:02"
"49","5","singer","Singer","2020-12-17 11:37:26","2020-12-17 11:37:26"
"50","5","salesperson","Salesperson","2020-12-17 11:37:26","2020-12-17 11:37:26"
"51","5","magician-special","Magician (special)","2020-12-17 11:37:26","2020-12-17 11:37:26"
"52","5","photographer","Photographer","2020-12-17 11:37:26","2020-12-17 11:37:26"
"53","5","doctor","Doctor","2020-12-17 11:37:26","2020-12-17 11:37:26"
"54","5","party-host-special","Party Host (special)","2020-12-17 11:37:26","2020-12-17 11:37:26"
"55","5","tour-guide","Tour Guide ","2020-12-17 11:37:26","2020-12-17 11:37:26"
"56","5","artist","Artist ","2020-12-17 11:37:26","2020-12-17 11:37:26"
"57","5","inventor-special","Inventor (special)","2020-12-17 11:37:26","2020-12-17 11:37:26"
"58","5","actor","Actor","2020-12-17 11:37:26","2020-12-17 11:37:26"
"59","5","cabin-crew","Cabin Crew ","2020-12-17 11:37:26","2020-12-17 11:37:26"
"60","5","engineer-special","Engineer (special)","2020-12-17 11:37:26","2020-12-17 11:37:26"
"61","6","entrepreneur","Entrepreneur ","2020-12-17 11:37:26","2020-12-17 11:37:26"
"62","6","director","Director ","2020-12-17 11:37:26","2020-12-17 11:37:26"
"63","6","challenge-day-1","Challenge Day 1","2020-12-17 11:37:26","2020-12-17 11:37:26"
"64","6","reporter","Reporter","2020-12-17 11:37:26","2020-12-17 11:37:26"
"65","6","influencer-special-i","Influencer (special) i","2020-12-17 11:37:26","2020-12-17 11:37:26"
"66","6","detective","Detective ","2020-12-17 11:37:26","2020-12-17 11:37:26"
"67","6","challenge-day-2","Challenge Day 2","2020-12-17 11:37:26","2020-12-17 11:37:26"
"68","6","lawyer","Lawyer ","2020-12-17 11:37:26","2020-12-17 11:37:26"
"69","6","coach","Coach","2020-12-17 11:37:26","2020-12-17 11:37:26"
"70","6","architect","Architect","2020-12-17 11:37:27","2020-12-17 11:37:27"
"71","6","challenge-day-3","Challenge Day 3 ","2020-12-17 11:37:27","2020-12-17 11:37:27"
"72","6","pilot","Pilot","2020-12-23 11:59:56","2020-12-23 11:59:56"
