"user_id","branch_id","role_id"
"76","5","5"
"76","10","7"
"154","11","6"
"154","9","7"
"2403","24","6"
"2403","22","7"
"958","3","6"
"958","11","7"
"876","6","6"
"876","3","7"
"884","7","6"
"884","3","7"
"288","6","6"
"288","8","7"
"2376","30","6"
"2376","7","7"
"785","3","6"
"785","4","7"
"558","7","6"
"558","2","7"
"760","4","6"
"760","2","7"
"1268","3","6"
"1268","13","7"
"982","3","6"
"982","9","7"
"1166","5","6"
"1166","5","7"
"1451","11","6"
"1451","13","7"
"353","6","6"
"353","6","7"
"1070","13","6"
"1070","2","7"
"2253","30","6"
"2253","25","7"
"1468","17","6"
"1468","5","7"
"2344","28","6"
"2344","27","7"
"2149","11","6"
"2149","4","7"
"868","11","6"
"868","2","7"
"683","2","6"
"683","6","7"
"988","4","6"
"988","6","7"
"1319","9","6"
"1319","5","7"
"1409","3","6"
"1409","4","7"
"330","6","6"
"330","6","7"
"796","6","6"
"796","5","7"
"462","5","6"
"462","5","7"
"2145","7","6"
"2145","24","7"
"2081","4","6"
"2081","20","7"
"2084","19","6"
"2084","24","7"
"470","5","6"
"470","5","7"
"389","3","6"
"389","3","7"
"1066","7","6"
"1066","7","7"
"1028","2","6"
"1556","19","6"
"1556","11","7"
"1301","5","6"
"1301","13","7"
"1270","3","6"
"1270","3","7"
"1498","17","6"
"1498","4","7"
"403","3","6"
"403","3","7"
"687","2","6"
"687","4","7"
"2002","27","6"
"2002","20","7"
"1167","7","6"
"2445","7","6"
"1625","20","6"
"1625","6","7"
"2055","11","6"
"2055","16","7"
"1171","14","6"
"1171","13","7"
"1856","4","6"
"1856","19","7"
"572","7","6"
"1169","7","6"
"1169","4","7"
"1398","13","6"
"1398","3","7"
"333","6","6"
"333","6","7"
"2029","2","6"
"2029","23","7"
"246","9","6"
"246","8","7"
"795","9","6"
"795","5","7"
"1426","16","6"
"1426","6","7"
"1011","8","6"
"1011","7","7"
"2156","25","6"
"2156","24","7"
"1435","4","6"
"1435","7","7"
"163","4","6"
"163","12","7"
"2171","25","6"
"2171","17","7"
"89","6","5"
"89","10","7"
"607","6","6"
"607","3","7"
"2246","28","6"
"2246","16","7"
"1108","14","6"
"1108","2","7"
"919","6","6"
"919","3","7"
"1868","7","6"
"1868","18","7"
"2100","13","6"
"2100","11","7"
"1645","17","6"
"1645","5","7"
"852","13","6"
"190","10","6"
"190","9","7"
"546","2","6"
"546","2","7"
"989","4","6"
"989","6","7"
"2146","25","6"
"2146","11","7"
"474","2","6"
"474","2","7"
"1732","16","6"
"1257","5","6"
"1257","2","7"
"547","2","6"
"547","2","7"
"1823","7","6"
"1823","17","7"
"170","6","6"
"170","12","7"
"1846","17","6"
"1846","16","7"
"807","7","6"
"807","2","7"
"1482","3","6"
"1482","5","7"
"2071","25","6"
"2071","11","7"
"1137","14","6"
"1137","5","7"
"983","3","6"
"983","6","7"
"1218","6","6"
"1218","7","7"
"1185","14","6"
"1185","5","7"
"1140","14","6"
"1140","9","7"
"1364","5","6"
"1364","6","7"
"717","6","6"
"717","6","7"
"1794","14","6"
"1794","4","7"
"775","2","6"
"775","6","7"
"1457","3","6"
"1457","9","7"
"1358","6","6"
"1358","4","7"
"1465","7","6"
"1465","9","7"
"329","6","6"
"329","6","7"
"2234","5","6"
"2234","25","7"
"2414","31","6"
"2414","2","7"
"1223","14","6"
"1223","7","7"
"945","5","6"
"945","11","7"
"1830","16","6"
"1830","2","7"
"836","4","6"
"836","6","7"
"1170","11","6"
"1170","13","7"
"1610","6","6"
"1610","4","7"
"1593","16","6"
"1593","6","7"
"1444","7","6"
"1444","17","7"
"1528","17","6"
"1528","6","7"
"2206","29","6"
"2206","20","7"
"1139","6","6"
"1139","13","7"
"1159","4","6"
"1159","4","7"
"2113","2","6"
"2113","23","7"
"498","5","6"
"498","2","7"
"2251","29","6"
"2251","25","7"
"813","3","6"
"813","2","7"
"1694","22","5"
"1694","13","7"
"1053","7","6"
"1053","7","7"
"740","3","6"
"740","4","7"
"139","11","6"
"139","9","7"
"2306","29","6"
"157","11","6"
"157","9","7"
"2095","28","6"
"2095","22","7"
"772","5","6"
"772","2","7"
"2008","7","6"
"2008","20","7"
"1239","17","6"
"1239","13","7"
"2402","24","6"
"2402","22","7"
"1941","27","6"
"1941","19","7"
"1684","14","6"
"1684","6","7"
"1637","4","6"
"1637","6","7"
"2447","6","6"
"2447","4","7"
"1158","8","6"
"1158","4","7"
"1254","14","6"
"1254","4","7"
"643","2","6"
"643","4","7"
"1000","7","6"
"2336","31","6"
"2336","22","7"
"140","11","6"
"2220","9","6"
"2220","7","7"
"259","9","6"
"259","8","7"
"1289","7","6"
"1289","13","7"
"2093","28","6"
"2093","24","7"
"1089","3","6"
"1089","4","7"
"1630","19","6"
"1630","3","7"
"1663","20","6"
"1663","9","7"
"371","6","6"
"371","3","7"
"1524","3","6"
"1524","5","7"
"2326","31","6"
"2326","20","7"
"504","4","6"
"504","2","7"
"2387","3","6"
"2387","18","7"
"603","6","6"
"603","7","7"
"972","2","6"
"972","4","7"
"2302","13","6"
"2302","14","7"
"461","4","6"
"461","5","7"
"373","6","6"
"373","3","7"
"2267","21","6"
"2267","11","7"
"1118","7","6"
"1118","3","7"
"1256","6","6"
"1256","11","7"
"227","9","6"
"227","2","7"
"1503","17","6"
"1503","13","7"
"2423","4","6"
"2423","18","7"
"515","3","6"
"515","4","7"
"1455","9","6"
"1455","14","7"
"688","2","6"
"688","4","7"
"248","12","6"
"1329","16","6"
"1329","2","7"
"858","7","6"
"858","5","7"
"1331","14","6"
"1331","3","7"
"885","7","6"
"195","10","6"
"195","9","7"
"939","9","6"
"939","6","7"
"984","3","6"
"984","13","7"
"304","8","6"
"304","6","7"
"994","2","6"
"994","6","7"
"2006","4","6"
"2006","14","7"
"269","12","6"
"269","6","7"
"1420","14","6"
"1420","14","7"
"2112","2","6"
"2112","16","7"
"2266","16","6"
"2266","11","7"
"770","6","6"
"770","2","7"
"1259","5","6"
"1101","7","6"
"1101","6","7"
"1250","11","6"
"1250","2","7"
"442","5","6"
"442","4","7"
"1781","24","6"
"1781","17","7"
"1313","2","6"
"1313","4","7"
"2039","8","6"
"2039","22","7"
"2241","28","6"
"2241","11","7"
"1376","2","6"
"1376","8","7"
"2211","29","6"
"2211","7","7"
"346","6","6"
"346","6","7"
"666","5","6"
"666","4","7"
"752","9","6"
"752","7","7"
"1043","4","6"
"1043","9","7"
"2353","14","6"
"2353","11","7"
"1135","3","6"
"1135","4","7"
"243","9","6"
"243","8","7"
"349","6","6"
"349","6","7"
"372","6","6"
"372","3","7"
"1411","7","6"
"1411","5","7"
"1675","19","6"
"1675","16","7"
"1400","13","6"
"1400","3","7"
"1399","13","6"
"1399","9","7"
"233","9","6"
"233","6","7"
"2261","5","6"
"2261","11","7"
"1079","9","6"
"1079","7","7"
"272","12","6"
"272","6","7"
"409","3","6"
"409","5","7"
"468","5","6"
"468","5","7"
"1564","6","6"
"1564","4","7"
"2351","31","6"
"2351","11","7"
"2412","27","6"
"2412","2","7"
"615","4","6"
"615","3","7"
"744","3","6"
"744","2","7"
"413","3","6"
"621","4","6"
"2209","19","6"
"2209","7","7"
"1636","2","6"
"1636","3","7"
"1049","7","6"
"1049","8","7"
"2007","7","6"
"2007","11","7"
"1486","14","6"
"1486","7","7"
"1414","3","6"
"1414","7","7"
"1132","4","6"
"1132","2","7"
"920","3","6"
"700","9","6"
"700","12","7"
"193","10","6"
"193","12","7"
"1545","18","6"
"1545","9","7"
"439","5","6"
"1152","14","6"
"1152","2","7"
"848","2","6"
"848","10","7"
"903","4","6"
"903","4","7"
"171","6","6"
"171","12","7"
"1075","8","6"
"1075","11","7"
"1262","6","6"
"1262","9","7"
"1165","4","6"
"1165","5","7"
"925","8","6"
"925","3","7"
"1274","3","6"
"1274","7","7"
"1316","16","6"
"1316","4","7"
"230","3","6"
"230","2","7"
"1004","7","6"
"1004","3","7"
"610","4","6"
"918","6","6"
"918","6","7"
"428","4","6"
"428","5","7"
"1773","24","6"
"1773","16","7"
"1725","24","6"
"1725","16","7"
"315","8","6"
"315","6","7"
"2161","27","6"
"2161","13","7"
"2404","27","6"
"2404","2","7"
"2033","8","6"
"2033","23","7"
"913","2","6"
"913","9","7"
"2047","4","6"
"1189","7","6"
"1189","9","7"
"812","5","6"
"812","2","7"
"357","6","6"
"2401","3","6"
"2401","22","7"
"429","5","6"
"2050","24","6"
"2050","16","7"
"1982","27","6"
"1982","21","7"
"262","9","6"
"262","8","7"
"2223","22","6"
"2223","3","7"
"573","7","6"
"1729","16","6"
"1729","13","7"
"1998","6","6"
"1998","6","7"
"2164","27","6"
"2164","16","7"
"675","9","6"
"675","6","7"
"2442","32","6"
"378","6","6"
"548","2","6"
"548","2","7"
"863","13","6"
"863","5","7"
"1492","4","6"
"1492","9","7"
"754","7","6"
"754","2","7"
"2019","23","6"
"2019","23","7"
"1184","3","6"
"1184","7","7"
"395","3","6"
"395","3","7"
"1051","7","6"
"1051","8","7"
"501","4","6"
"501","2","7"
"437","5","6"
"437","5","7"
"838","4","6"
"838","4","7"
"1535","16","6"
"1535","3","7"
"1115","7","6"
"1115","6","7"
"224","9","6"
"1877","7","6"
"1877","8","7"
"800","11","6"
"800","2","7"
"105","9","5"
"562","7","6"
"562","2","7"
"1234","9","6"
"1234","3","7"
"1408","4","6"
"1408","4","7"
"624","6","6"
"1401","16","6"
"1401","8","7"
"1571","3","6"
"1571","14","7"
"96","3","5"
"1205","9","6"
"1205","4","7"
"1473","17","6"
"1473","3","7"
"2242","9","6"
"2242","25","7"
"742","3","6"
"742","7","7"
"1655","20","6"
"1655","4","7"
"169","6","6"
"169","9","7"
"833","7","6"
"833","4","7"
"737","2","6"
"737","3","7"
"2426","11","6"
"2426","22","7"
"1389","6","6"
"1389","9","7"
"2383","25","6"
"2383","4","7"
"1440","5","6"
"1440","7","7"
"1365","5","6"
"1365","6","7"
"979","4","6"
"979","3","7"
"1240","4","6"
"1240","13","7"
"793","2","6"
"793","2","7"
"747","13","4"
"747","2","7"
"2415","4","5"
"2415","31","5"
"2415","4","7"
"1541","18","5"
"1541","3","7"
"1622","20","5"
"1622","9","7"
"1597","20","4"
"1597","7","7"
"1304","16","4"
"1304","3","7"
"1888","25","5"
"1888","18","7"
"1543","17","5"
"1543","3","7"
"2381","25","6"
"2381","25","7"
"1097","2","6"
"1138","6","6"
"1138","5","7"
"133","11","6"
"133","9","7"
"1629","19","6"
"1629","4","7"
"2030","4","6"
"2030","23","7"
"657","2","6"
"535","2","6"
"535","3","7"
"1076","6","6"
"1076","11","7"
"507","4","6"
"1938","27","6"
"1938","21","7"
"275","6","6"
"275","8","7"
"902","4","6"
"902","4","7"
"268","9","6"
"268","12","7"
"123","3","5"
"123","3","7"
"2023","25","6"
"2023","23","7"
"1100","13","6"
"1100","11","7"
"1677","5","6"
"1677","7","7"
"2313","28","6"
"2313","22","7"
"711","4","6"
"711","7","7"
"1287","11","6"
"1287","3","7"
"1865","20","6"
"1865","19","7"
"292","8","6"
"292","8","7"
"2197","1","5"
"2294","13","6"
"2294","27","7"
"185","10","6"
"185","9","7"
"653","2","6"
"653","13","7"
"527","2","6"
"527","3","7"
"2268","20","6"
"2268","6","7"
"1669","17","6"
"1669","16","7"
"935","22","6"
"935","6","7"
"1892","25","6"
"1892","5","7"
"2135","28","6"
"2135","11","7"
"866","9","6"
"1357","3","6"
"1357","7","7"
"865","9","6"
"865","2","7"
"1178","14","5"
"1178","4","7"
"1965","2","6"
"1965","16","7"
"1902","25","6"
"1902","19","7"
"1092","11","6"
"1092","8","7"
"263","12","6"
"263","8","7"
"1217","2","6"
"1217","7","7"
"783","2","6"
